PC1,PC2,neurotransmitter,cell_type,bodyId
-0.08363153133751455,1.0731295370805478,acetylcholine,VC5_lvPN,1442819296
-1.2545048285668206,0.7036692572128548,acetylcholine,VC5_lvPN,1818307672
-1.4164853532748962,1.1069709925167086,acetylcholine,VC4_adPN,754854077
-0.4641617631358492,-0.08891038128976801,acetylcholine,VC4_adPN,788306724
0.4016395792751136,0.6198677605529459,acetylcholine,VC4_adPN,5813055147
6.153010373849344,0.24736967324351106,acetylcholine,VM6_adPN,636789080
1.8815479908919945,-1.4755550389758618,acetylcholine,VL1_ilPN,1912789965
0.8300683013421051,-0.7906634106824413,acetylcholine,VL1_ilPN,2166133204
-0.03128866934855316,-0.3471206620100454,gaba,VL1_vPN,757556799
7.970217753518631,0.7027591447132795,acetylcholine,VL2a_adPN,5813069089
-3.4030354403525944,-1.3343431265105963,gaba,VL2a_vPN,948834414
-3.2381687206090786,-1.366281122596958,gaba,VL2a_vPN,1889883818
-3.626475004756429,-0.7077281355313952,gaba,VL2a_vPN,5813077810
9.736778589929205,1.3352867159027773,acetylcholine,VL2p_adPN,1944507292
-2.8177926897514873,-0.5575282555615773,gaba,VL2p_vPN,824353701
1.085537513030105,0.7356132020901648,acetylcholine,VM1_lPN,1850711304
-2.7842975076750376,6.585064941768806,acetylcholine,VM2_adPN,697132371
-2.930355110541549,4.453593335175117,acetylcholine,VM2_adPN,727472481
-0.7599404538989576,1.3691248541896015,acetylcholine,VM3_adPN,1851389175
-0.9777692985832788,1.3629705556998297,acetylcholine,VM3_adPN,1977916288
0.7098400427897158,1.1422824322735765,acetylcholine,VM4_adPN,694834412
-2.2931788447295656,-0.44876000379989966,acetylcholine,VM4_lvPN,726207450
-2.821421880670993,-0.2469336984518078,acetylcholine,VM4_lvPN,1850024931
-0.8469084647283636,-0.5523016369236473,acetylcholine,VM5d_adPN,1006258344
-2.36724661552806,-1.2718885228090502,acetylcholine,VM5d_adPN,1547273567
-2.1759806031074036,-1.1912337572042886,acetylcholine,VM5d_adPN,1693577325
-2.6721952019925252,-1.434612272597733,acetylcholine,VM5d_adPN,1856259388
-1.6278792299340161,-0.7731269656101827,acetylcholine,VM5d_adPN,1888572074
-1.1470396748084415,-0.5178112896917573,acetylcholine,VM5d_adPN,1914140664
-0.8434248395890065,-0.6190697291674478,acetylcholine,VM5d_adPN,1914823414
-1.771789127992866,-0.4213720946417042,acetylcholine,VM5d_adPN,5813024712
-3.105632584802977,-1.1352312255985046,acetylcholine,VM5v_adPN,1887971628
-0.15453735603166655,-0.058449024507051923,acetylcholine,VM5v_adPN,2010992546
0.1610520582472126,0.11428398350520884,acetylcholine,VM5v_adPN,5813034571
-2.809867297822697,-0.9093340086671993,acetylcholine,VM7d_adPN,913650065
-2.085432394986877,-0.8918917941513207,acetylcholine,VM7d_adPN,913650068
0.20089432457337966,0.34401437149702496,acetylcholine,VM7d_adPN,1851393805
0.9950446368189693,0.48094998329515426,acetylcholine,VM7d_adPN,5813050727
-1.8671678092359423,-0.7999170747831292,acetylcholine,VM7d_adPN,5813057542
-0.5142523793805207,0.5734810620903737,acetylcholine,VM7v_adPN,693479072
-3.095385431421437,-0.7381102013963855,acetylcholine,VM7v_adPN,820545761
-3.0381135256465615,-0.8349749200687764,acetylcholine,VM7v_adPN,913650164
-0.67456846218898,0.7072392116695263,acetylcholine,VM7v_adPN,1889253763
3.3463405366903145,0.8894650694709666,acetylcholine,V_ilPN,698508565
3.330716518833505,0.45787415833569567,acetylcholine,V_ilPN,2064165421
0.5016670447898498,-0.7717912186555428,acetylcholine,V_l2PN,666818300
