bodyId,hemibrain_type,cell_type,neurotransmitter,outgoing_edges,outgoing_synapses,outgoing_mean_synapses,outgoing_median_synapses,outgoing_max_synapses,outgoing_synapse_sd,incoming_edges,incoming_synapses,incoming_mean_synapses,incoming_median_synapses,incoming_max_synapses,incoming_synapse_sd,total_edges,total_synapses,outgoing_incoming_edge_ratio,outgoing_incoming_synapse_ratio
5813049472,DC4_adPN,DC4_adPN,acetylcholine,239,1560,6.527196652719665,4.0,54,7.9556473313719245,240,2794,11.641666666666667,3.0,87,18.930967228938723,479,4354,0.9958333333333333,0.5583392984967788
5813056596,DC4_adPN,DC4_adPN,acetylcholine,567,5435,9.585537918871252,3.0,97,13.815262812981796,273,3408,12.483516483516484,2.0,103,20.746737502572458,840,8843,2.076923076923077,1.5947769953051643
697848868,DC4_vPN,DC4_vPN,gaba,97,220,2.268041237113402,1.0,15,2.547529292919276,123,320,2.6016260162601625,1.0,20,3.0183586827410456,220,540,0.7886178861788617,0.6875
1447201088,DC4_vPN,DC4_vPN,gaba,104,202,1.9423076923076923,1.0,11,1.9747283115421916,147,455,3.0952380952380953,1.0,34,4.256072749747301,251,657,0.7074829931972789,0.44395604395604393
1484850301,DL1_adPN,DL1_adPN,acetylcholine,167,842,5.041916167664671,3.0,44,5.642302885201351,267,944,3.5355805243445695,2.0,16,3.002763129160347,434,1786,0.6254681647940075,0.8919491525423728
1670079387,DL1_adPN,DL1_adPN,acetylcholine,152,639,4.203947368421052,2.0,27,4.534399521114027,240,738,3.075,2.0,18,2.7356701580031757,392,1377,0.6333333333333333,0.8658536585365854
1700937093,DL1_adPN,DL1_adPN,acetylcholine,569,5520,9.701230228471001,5.0,133,13.56214239087439,382,4112,10.764397905759163,3.0,68,13.32855516203453,951,9632,1.4895287958115184,1.3424124513618676
1700946301,DL1_adPN,DL1_adPN,acetylcholine,564,5824,10.326241134751774,4.0,160,15.073412516304616,367,4215,11.485013623978201,4.0,77,13.791149808709275,931,10039,1.5367847411444142,1.3817319098457888
788648194,DL2d_adPN,DL2d_adPN,acetylcholine,371,3465,9.339622641509434,3.0,64,11.208974149262602,281,2229,7.932384341637011,2.0,69,11.780388561153398,652,5694,1.3202846975088969,1.5545087483176312
1756579280,DL2d_adPN,DL2d_adPN,acetylcholine,213,1482,6.957746478873239,3.0,49,8.147988442088332,201,1286,6.398009950248756,2.0,66,11.12343454243789,414,2768,1.0597014925373134,1.1524105754276828
1793014716,DL2d_adPN,DL2d_adPN,acetylcholine,285,2788,9.782456140350877,3.0,53,11.463431183965522,237,1976,8.337552742616033,2.0,107,16.09624071552095,522,4764,1.2025316455696202,1.4109311740890689
1793351401,DL2d_adPN,DL2d_adPN,acetylcholine,201,995,4.9502487562189055,2.0,25,5.8238743494181735,180,966,5.366666666666666,2.0,45,7.851199958103404,381,1961,1.1166666666666667,1.0300207039337475
